Index,Output,Orbital Period,Transition Duration,Transition Depth,Planet Rad,Planet Eqbm Temp,Stellar Effective Temp,Stellar log g,Stellar Rad,ra,dec,,,,,
1,1,9.48803557,2.9575,616.00,2.26,793,5455,4.467,0.927,291.93423,48.141651,,,,,
2,1,54.4183827,4.507,875.00,2.83,443,5455,4.467,0.927,291.93423,48.141651,,,,,
3,1,19.89913995,1.7822,10800.00,14.6,638,5853,4.544,0.868,297.00482,48.134129,,,,,
4,0,1.736952453,2.40641,8080.00,33.46,1395,5805,4.564,0.791,285.53461,48.28521,,,,,
5,1,2.525591777,1.6545,603.00,2.75,1406,6031,4.438,1.046,288.75488,48.2262,,,,,
6,1,11.09432054,4.5945,1520.00,3.9,835,6046,4.486,0.972,296.28613,48.22467,,,,,
7,1,4.13443512,3.1402,686.00,2.77,1160,6046,4.486,0.972,296.28613,48.22467,,,,,
8,1,2.56658897,2.429,227.00,1.59,1360,6046,4.486,0.972,296.28613,48.22467,,,,,
9,0,7.36178958,5.022,234.00,39.21,1342,6227,3.986,1.958,298.86435,42.151569,,,,,
10,1,16.06864674,3.5347,4910.00,5.76,600,5031,4.485,0.848,286.99948,48.37579,,,,,
11,1,2.470613377,1.74319,14200.00,13.04,1339,5820,4.457,0.964,286.80847,49.316399,,,,,
12,1,2.204735417,3.88864,6670.00,16.1,2048,6440,4.019,1.952,292.24728,47.969521,,,,,
13,1,3.522498429,3.19843,9150.00,14.59,1521,6225,4.169,1.451,281.28812,42.45108,,,,,
14,1,3.709214104,2.6302,131.00,1.16,1206,5833,4.407,1.022,295.64871,48.49556,,,,,
15,0,11.52144606,3.6399,18000.00,150.51,753,5795,4.554,0.848,297.07993,47.597401,,,,,
16,0,19.40393776,12.2155,8920.00,7.18,523,5043,4.591,0.68,289.25821,47.635319,,,,,
17,0,19.22138894,4.79843,74300.00,49.29,698,6117,4.496,0.947,295.81454,47.69035,,,,,
18,0,16.46983774,9.4378,10500.00,7.94,595,5152,4.517,0.786,297.15442,47.668701,,,,,
19,1,9.27358173,3.2875,1290.00,2.47,649,4856,4.583,0.696,288.13824,47.724449,,,,,
